PassengerID,TripOrigin,TripDestination,Aver_TripMode,trips,Months_Passed,promo1,TwoMonthMode,LastMonthMode,ModeChange,LastTripStart,LastTripEnd,LastTripFare,LastMinShift,done,HomeLoc,WorkLoc,AvgNumDayWithTravelPerWeek,AvgNumTripsPeyDay,PercentageOfWeekdayTravel,NumUniqueStation,NumLocCoverPercentile,WorkStartTime,AvgTripTravelTime,FirstWeekdayMorningTapInTimeStd,LastWeekdayEveningTapOutTimeStd,NumOfMorningTransfer,MeanMorningPeakMoneySave,StdMorningPeakMoneySave,MeanTimeShift,StdTimeShift,MeanMorningPeakTripTravelTime,StdMorningPeakTripTravelTime,AvgNumMorningTripsTapOutAtTargetStationsPerWeek,AvgNumDayWithMorningTripPerWeek,StationRiMean,StationRiStd,MostUsedStationPercentage,OdRiMean,OdRiStd,MostUsedOdPercentage,OdCount,UniqueStaNumMean,UniqueStaNumStd,HomeTripsPerDayMean,HomeTripsPerDayStd,HomeLocAdmRegion,WorkLocAdmRegion,HomeLocIsDiscSta,WorkLocIsDiscSta,is_adopter,is_early_adopter,is_later_adopter,is_early_morning_adopter,is_morning_peak_adopter,is_attrition_adopter,OffPeakTrips,OffPeakRatio,MonthMode,ce_flex,con_flex,ce_dis,con_dis,ce_con,con_con
train_001,38,17,0.904761905,21,9,1,0.578947368,0.5,-0.078947368,34,59.3,5.9,1.5,FALSE,38,17,5.375,3,0.80141844,13,2,493.45,24.12680412,3.910310162,13.62006216,0,1.925,2.52E-15,0.699712644,1.308040405,25.41282052,1.256290962,6.75,4.625,0.076923077,0.163315644,0.475177305,0.047619048,0.111391559,0.402061856,21,2.127659574,0.337318149,1,0,Kowloon,Kowloon,0,1,0,0,0,0,0,0,19,0.303603223,1,0.008,1,0.008,3,0.009,1
train_001,38,17,0.952380952,21,10,1,0.5,0.904761905,0.404761905,29.57142857,54.9047619,5.8,0.142857143,FALSE,38,17,5.375,3,0.80141844,13,2,493.45,24.12680412,3.910310162,13.62006216,0,1.925,2.52E-15,0.699712644,1.308040405,25.41282052,1.256290962,6.75,4.625,0.076923077,0.163315644,0.475177305,0.047619048,0.111391559,0.402061856,21,2.127659574,0.337318149,1,0,Kowloon,Kowloon,0,1,0,0,0,0,0,0,20,0.300105445,1,0.008,1,0.008,3,0.009,1
train_001,38,17,0.9,20,11,1,0.904761905,0.952380952,0.047619048,30.66666667,55.76190476,6,0,FALSE,38,17,5.375,3,0.80141844,13,2,493.45,24.12680412,3.910310162,13.62006216,0,1.925,2.52E-15,0.699712644,1.308040405,25.41282052,1.256290962,6.75,4.625,0.076923077,0.163315644,0.475177305,0.047619048,0.111391559,0.402061856,21,2.127659574,0.337318149,1,0,Kowloon,Kowloon,0,1,0,0,0,0,0,0,18,0.297334428,1,0.008,1,0.008,3,0.009,1
train_001,38,17,0.777777778,18,12,1,0.952380952,0.9,-0.052380952,30,55.75,6,0.3,FALSE,38,17,5.375,3,0.80141844,13,2,493.45,24.12680412,3.910310162,13.62006216,0,1.925,2.52E-15,0.699712644,1.308040405,25.41282052,1.256290962,6.75,4.625,0.076923077,0.163315644,0.475177305,0.047619048,0.111391559,0.402061856,21,2.127659574,0.337318149,1,0,Kowloon,Kowloon,0,1,0,0,0,0,0,0,14,0.304746363,1,0.008,1,0.008,3,0.009,1
train_001,38,17,0.764705882,17,13,1,0.9,0.777777778,-0.122222222,32.22222222,57.77777778,6,0.277777778,TRUE,38,17,5.375,3,0.80141844,13,2,493.45,24.12680412,3.910310162,13.62006216,0,1.925,2.52E-15,0.699712644,1.308040405,25.41282052,1.256290962,6.75,4.625,0.076923077,0.163315644,0.475177305,0.047619048,0.111391559,0.402061856,21,2.127659574,0.337318149,1,0,Kowloon,Kowloon,0,1,0,0,0,0,0,0,13,0.303871921,1,0.008,1,0.008,3,0.009,1
train_002,22,17,0,16,-1,0,0,0,0,94.55,108.15,6.2,48.15,FALSE,10,6,5.25,2.911111111,0.801526718,12,2,542.8333333,17.3186747,12.16522398,13.71250388,0,2.115384615,1.984152804,47.86805555,3.010854957,16.11581197,9.285561442,6.25,4.125,0.083333333,0.162078634,0.446564885,0.066666667,0.133144147,0.43373494,15,2.4,0.836660027,0.888888889,0.317820863,Kowloon,Kowloon,0,1,0,0,0,0,0,0,0,0.282184313,0,0.002,2,0.015,1,0.009,3
train_002,23,17,0,20,0,1,0,0,0,85.75,105.9375,11.7125,45.9375,FALSE,10,6,5.25,2.911111111,0.801526718,12,2,542.8333333,17.3186747,12.16522398,13.71250388,0,2.115384615,1.984152804,47.86805555,3.010854957,16.11581197,9.285561442,6.25,4.125,0.083333333,0.162078634,0.446564885,0.066666667,0.133144147,0.43373494,15,2.4,0.836660027,0.888888889,0.317820863,Kowloon,Kowloon,0,1,0,0,0,0,0,0,0,0.301498247,0,0.002,2,0.015,1,0.009,3
train_002,22,17,0,21,1,1,0,0,0,81,103.05,12.08,43.05,FALSE,10,6,5.25,2.911111111,0.801526718,12,2,542.8333333,17.3186747,12.16522398,13.71250388,0,2.115384615,1.984152804,47.86805555,3.010854957,16.11581197,9.285561442,6.25,4.125,0.083333333,0.162078634,0.446564885,0.066666667,0.133144147,0.43373494,15,2.4,0.836660027,0.888888889,0.317820863,Kowloon,Kowloon,0,1,0,0,0,0,0,0,0,0.305886113,0,0.002,2,0.015,1,0.009,3
train_002,23,17,0,20,2,1,0,0,0,82.71428571,105.0952381,11.8,45.0952381,FALSE,10,6,5.25,2.911111111,0.801526718,12,2,542.8333333,17.3186747,12.16522398,13.71250388,0,2.115384615,1.984152804,47.86805555,3.010854957,16.11581197,9.285561442,6.25,4.125,0.083333333,0.162078634,0.446564885,0.066666667,0.133144147,0.43373494,15,2.4,0.836660027,0.888888889,0.317820863,Kowloon,Kowloon,0,1,0,0,0,0,0,0,0,0.29767329,0,0.002,2,0.015,1,0.009,3
train_002,22,17,0,21,3,1,0,0,0,85.5,107.9,12.08,47.9,FALSE,10,6,5.25,2.911111111,0.801526718,12,2,542.8333333,17.3186747,12.16522398,13.71250388,0,2.115384615,1.984152804,47.86805555,3.010854957,16.11581197,9.285561442,6.25,4.125,0.083333333,0.162078634,0.446564885,0.066666667,0.133144147,0.43373494,15,2.4,0.836660027,0.888888889,0.317820863,Kowloon,Kowloon,0,1,0,0,0,0,0,0,0,0.289250102,0,0.002,2,0.015,1,0.009,3
train_002,25,19,0,17,4,1,0,0,0,84.38095238,106.7142857,11.8,46.71428571,FALSE,10,6,5.25,2.911111111,0.801526718,12,2,542.8333333,17.3186747,12.16522398,13.71250388,0,2.115384615,1.984152804,47.86805555,3.010854957,16.11581197,9.285561442,6.25,4.125,0.083333333,0.162078634,0.446564885,0.066666667,0.133144147,0.43373494,15,2.4,0.836660027,0.888888889,0.317820863,Kowloon,Kowloon,0,1,0,0,0,0,0,0,0,0.284456533,0,0.002,2,0.015,1,0.009,3
train_002,25,19,0,17,5,1,0,0,0,80.70588235,104.7647059,13.11764706,44.76470588,FALSE,10,6,5.25,2.911111111,0.801526718,12,2,542.8333333,17.3186747,12.16522398,13.71250388,0,2.115384615,1.984152804,47.86805555,3.010854957,16.11581197,9.285561442,6.25,4.125,0.083333333,0.162078634,0.446564885,0.066666667,0.133144147,0.43373494,15,2.4,0.836660027,0.888888889,0.317820863,Kowloon,Kowloon,0,1,0,0,0,0,0,0,0,0.28434532,0,0.002,2,0.015,1,0.009,3
train_002,23,17,0,20,6,1,0,0,0,82.47058824,104.8235294,13.11764706,44.82352941,FALSE,10,6,5.25,2.911111111,0.801526718,12,2,542.8333333,17.3186747,12.16522398,13.71250388,0,2.115384615,1.984152804,47.86805555,3.010854957,16.11581197,9.285561442,6.25,4.125,0.083333333,0.162078634,0.446564885,0.066666667,0.133144147,0.43373494,15,2.4,0.836660027,0.888888889,0.317820863,Kowloon,Kowloon,0,1,0,0,0,0,0,0,0,0.287069984,0,0.002,2,0.015,1,0.009,3
